,PROBLEM STATEMENT ,,,,,,,,,,,,
,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,
,Level 2  (Grade 3 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,Comments,Addressing misconceptions
,Week 1 Session 1 ,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Rhyme Time,,Listen to Tamil rhyme; identify and say the focus words orally,Rhyme consists of focus words/letters.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,"Game - Drag and Drop
Retain drag and drop - But we need to improve the audio options (use actual audio icons or something closer instead of coloured buttons we have now)",,Identify picture that match a specific focus word.,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,"Give 3 clue words and students find the connecting focus word - example: sick, medicine, treatment -> doctor (images given next to each clue, answer options has the word+picture, students choose the correct answer)",,Identify the logical link between the different words ,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Story Time,,Hear focus words in context and use,Story uses week's focus words in natural context. Culturally grounded visuals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Games - Drag and Drop,,,Answer Wh questions,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Blending,,Recognize letter sound correspondence,"Train carriages of letter or letters joined with thread of a word or letters of a word in slide could be shown blend together to form a word. Alternatively, individual letters could be shown in boxes as well to be read together.And vice versa. This can be also used for singular and plural.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Drag and Drop,,,Drag and drop the correct blend.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
,Game - Blending,,,Letters of a word are shown and sounded. Student has to blend all the letters together and read as a word. Match the word with the correct object.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
,Game - Tap and speak,,,Students tap and say the first letter sound of the object shown in the picture.,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
,Game - Fill the bottle of words ending with same sound,,,Find and group words with same first/second.../last letters. We can show the objects of a word instead.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
,Let us write,,,"Show the word and its pronounciation. Also show, how to write a letter - step by step.",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,Game - Tracing,,,Dotted words path with animated guide. Child traces with finger. Stroke order enforced gently.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
,,,,,,,,,,,,,
,Week 1 Session 2,,,,,,,,,,,,
,Rhyme Time recap,,Listen to Tamil rhyme; identify and say the focus words orally,"Rhyme consists of focus words/letters. The lyrics could be shown on the second day. Otherwise, similar to English, recap the focus words through picture.",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
,Game - Drag and Drop,,,"Child taps the picture matching the focus word they hear. Audio and video reward on correct tap. For example, Amma in audio and as a picture.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,Game - Spot it,,Identify picture that match a specific focus word.,Spot all the ____ - a 4*2 table with 8 images. Students choose all the images of that focus vocab.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
