,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,
,"Game 1 
Number line",,Sequencing,To sequence numbers and identify missing numbers in a series.,"A horizontal number line is displayed with a few empty slots. Below the line, four fish-shaped cards containing different numbers are swimming. Students must identify the sequence of the number line and drag the correct fish into its matching missing spot",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,4. Tracing ,,,,A demo will show how to trace numbers and where to start and end each number.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Trace ",,Number Formation,To master the correct formation and writing of numerals.,Students trace numbers on the screen using arrow guidance.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Week 1 
Session 2",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"1. Rhyme time
Introduction - Numbers 10 to 50
",,,Identify and recite numbers ,A catchy rhyme about 10 sticks becoming 1 bundle. Visuals will show 10 individual sticks jumping into a thread and getting tied.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Spot it",,Number Recognition,Students will be able to recognize and select written digits accurately based on audio cues.,"The screen is filled with scattered single digits where each number repeats several times. When the audio says ""Spot 13,"" the student must find and tap every instance (every single 13) shown on the screen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"2. Story Time
multiples of ten",,,To associate number names with concrete objects/quantities.,"Using Chikku and Chinnu, a hunting story will be played with visuals. Bundles of objects will be shown along with numbers 10 to 50",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Drag and drop",,Place Value / Multiples of 10,To skip-count in tens and identify the total value of multiple ten-unit groups.,Several bundles (each containing exactly ten items) are displayed. Students must skip-count by tens to find the total value and drag the correct number from the options into the answer box.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"3. Let us learn
Explanation Video",,,To count objects and link them to the correct numeral.,Demo video,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Drag and drop",,Place Value (Composition),To count objects and link them to the correct numeral.,"Groups of Ten-bundles and Loose sticks will be shown on the screen. Students need to count the total value (counting bundles as 10s and sticks as 1s), then drag and drop the correct number from the options into the answer box.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and Fill",,Place Value (Decomposition),represent a given number using a collection of objects,"Three baskets are displayed with numbers like 26, 37, or 49. Students must fill each basket by dragging the correct amount of Ten-bundles and Loose sticks from a big pile.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 3
Match it",,Place Value (Representation),one-to-one correspondence between pictures and numbers.,"Sets of Ten-bundles and Loose sticks will be on one side, and their corresponding 2-digit numbers (10 to 50) will be on the other side. Students need to draw lines to match the correct bundle set to its number.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"4. Arranging the numbers  

Missing Numbers
",,,To sequence numbers and identify missing numbers in a series.,A demo video will be played to show how to find and fill in missing numbers.,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Number line",,Sequencing,To sequence numbers and identify missing numbers in a series.,"A horizontal number line is displayed with a few empty slots. Below the line, four fish-shaped cards containing different numbers are swimming. Students must identify the sequence of the number line and drag the correct fish into its matching missing spot",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
