CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Story Time Video ,,To use focus words in correct context,"Chikku, Chinni, Lola, Lee animation videos uses the focus words in a relevant context. These videos are cost and effort intensive and made by Imperium ",,,,,,,,,,,,,,
Game type 1 - Drag and Drop ,,,,,,,,,,,,,,,,,
Game type 2  - Drag and Drop ,,,,,,,,,,,,,,,,,
Game type 3  - Tap and Speak ,,,,,,,,,,,,,,,,,
Phonics- 1,,To learn blending 3 and 4 -letter word families (not all are covered so L3 needs to pick from where this was left),The video shows visuals like swings to show to how to blend letters to read them together. One of the videos also is on vowel sounds. ,,,,,,,,,,,,,,
(2 games) Game type 1 - Drag image over images,,Drag and drop the word with the same ending sound (-ap/-an/-at etc..) as the question word. ,,,,,,,,,,,,,,,
(2 games) Game type 2  - Drag and Drop - Images,,Jumbled letters rearranging to make a full word,,,,,,,,,,,,,,,
(2 games) Game type 3  - Tap and Speak ,,,,,,,,,,,,,,,,,
Words I see (same for both session 1 and session 2),,To read sight words with repetition ,Sight words appear and are read. Then the student is asked to repeat with change in color of the word,,,,,,,,,,,,,,
(1 game) Game type 1 - Drag and Drop - Images,,5*5 match the following -> sight words matched to the audio sight words.,,,,,,,,,,,,,,,
(2 games) Game type 2 - Drag image over image,,Question in coloured button with audio of the sight word and students drag the correct word.,,,,,,,,,,,,,,,
(2 games) Game type 3  - Tap and Speak ,,Students tap and read the sight word.,,,,,,,,,,,,,,,
Week 1 Session 2,,,,,,,,,,,,,,,,,
Rhyme Time Instruction (same for 2 weeks),,Same as before ,Same as before ,,,,,,,,,,,,,,
Rhyme Time Video (same for 2 weeks),,Same as before ,Same as before ,,,,,,,,,,,,,,
(1 games) Game type 1 - Match the following,,5*5 match the following -> name of the place matched to the picture.,,,,,,,,,,,,,,,
(2 games) Game type 2  - Drag image over image,,The name of the object/place is added to the question and students drag the picture of the object/place to the question image.,,,,,,,,,,,,,,,
(2 games)  Game type 3  - Tap and Speak ,,Students tap and say the name of the object shown in the picture.,,,,,,,,,,,,,,,
Read With Me ,,To read short stories and answer  RC questions,"Steps to read, understand and answer comprehension questions are taught. ",,,,,,,,,,,,,,
(3 games) Game type 1 - Drag image over images,,Question - a line from the story + a question as audio. Options are images + audio of the name of the object.,,,,,,,,,,,,,,,
(3 games) Game type 2  - Fill in the blanks,,Fill in the blanks with 4 options,,,,,,,,,,,,,,,
